metric_id,category,cz_label,description,priority,type,source_kind,firebase_path,log_pattern,formula,unit,data_type,refresh_rate,ui_component,green_threshold,yellow_threshold,red_threshold,tooltip_cz,caveats
BOT_STATUS,Runtime,Status robota,Základní stav - běží/paused/chyba,P0,RAW,runtime,bot_config/health/status,[BOT_STATE],Live signal,enum,string,realtime,Badge,Status==running,heartbeat>30s,heartbeat>120s,Aktuální stav běhu robota. Pokud 'Chyba' zkontrolujte logy.,Může selhat bez aktualizace
TRADING_MODE,Runtime,Režim obchodování,live_real/paper_train/paper_live,P0,RAW,config,bot_config/trading_mode,TRADING_MODE=,Environment variable,enum,string,startup,Badge,paper_train|paper_live,paper_live,live_real,Aktivní režim. live_real = skutečné obchody!,Změna vyžaduje restart
GIT_HEAD,Runtime,Verze kódu (Git),Aktuální commit SHA,P2,RAW,git,bot_config/git_head,Git HEAD:,git rev-parse HEAD,sha1,string,startup,Text,matches_expected,,unknown,SHA posledního commitu. Pomocí pro debug.,Vyžaduje .git přístup
UPTIME_SECONDS,Runtime,Doba běhu (s),Kolik sekund bot běží bez restartování,P1,DERIVED,runtime,bot_metrics/uptime_s,Uptime:,now() - bot_start_ts,seconds,integer,30s,Text,>3600,300-3600,<300,Jak dlouho bot bez přerušení běží. Kratší časy = problém?,Resetuje se při restartu
LAST_HEARTBEAT_TS,Runtime,Poslední signal (čas),Timestamp poslední aktivity bota,P0,RAW,eventbus,bot_health/last_heartbeat_ts,[HEARTBEAT],max(last_signal_ts),unix_timestamp,number,realtime,RelativeTime,<10s,10-60s,>60s,Čas poslední aktivity. >60s = problém!,Může chybět log záznam
MARKET_FEED_STATUS,Market,Status tržních dat,WebSocket/Fallback/Offline,P0,RAW,stream,market_health/feed_status,[MARKET_OFFLINE],WS.is_connected() OR REST.active,enum,string,realtime,Badge,WS_connected,REST_fallback,offline,Zdroj tržních cen. WS = živé REST = náhrada,Fallback může být zaostávající
LAST_PRICE_TICK_TS,Market,Poslední cena (čas),Timestamp poslední aktualizace ceny,P1,RAW,stream,market_health/last_tick_ts,Price:,max(price_updates_ts),unix_timestamp_ms,number,1s,RelativeTime,<2s,2-10s,>10s,Čas poslední ceny. >10s = tržní data zaostávají!,Liší se per-symbol
SYMBOLS_ACTIVE_COUNT,Market,Aktivní symboly,Počet symbolů se svěžími cenami,P1,DERIVED,stream,market_health/active_symbols,Active symbols:,count(last_tick<30s),count,integer,30s,Text,"=expected_count",50-100%,<50%,Kolik symbolů má aktuální ceny. Nižší = méně obchodů.,Asymetrické (BTC živě ETH ne)
FIRESTORE_READ_COUNT_DAY,Quota,Firebase čtení (den),Počet Firestore reads za posledních 24h,P1,RAW,firebase,quota_metrics/reads_day,[QUOTA],sum(reads in 24h),count,integer,realtime,Counter,<25000,25000-40000,>40000,Firestore čtení za 24h. Limit 50k. Blížíme se?,Resetuje se v 09:00 GMT+2
READ_QUOTA_PCT,Quota,Zbytek čtení (%),Procento zbývající denní Firestore kvóty,P1,DERIVED,firebase,quota_metrics/read_quota_pct,N/A,(50000-read_count)/50000*100,percent,float,realtime,ProgressBar,>50%,20-50%,<20%,Zbývající Firestore kvóta. <20% = restrikce!,Nepočítá write kvótu
QUOTA_STATE,Quota,Stav kvóty,NORMAL/WARNING/EXHAUSTED,P0,DERIVED,firebase,quota_metrics/state,[QUOTA_STATE],IF read<20 THEN WARNING,enum,string,realtime,Badge,NORMAL,WARNING,EXHAUSTED,Stav Firestore kvóty. EXHAUSTED = bot se zpomaluje!,Falešné varování z cache reads
TOTAL_TRADES,Trading,Celkových obchodů,Počet všech uzavřených obchodů,P0,RAW,firebase,trading_summary/total_trades,[TRADE_CLOSED],count(trades),count,integer,10s,Text,>10,1-10,0,Počet kompletních obchodů. Více = déle běží.,Počítá live i paper
CLOSED_TRADES,Trading,Uzavřené obchody (live),Pouze live/real obchody,P1,RAW,firebase,trading_summary/closed_trades_live,[TRADE_CLOSED],count(trades WHERE mode==live_real),count,integer,10s,Text,>5,1-5,0,Živé obchody. Paper training se nepočítá.,Podmnožina TOTAL_TRADES
WINRATE,Trading,Úspěšnost (%),Procento obchodů s kladným PnL,P0,DERIVED,firebase,trading_summary/winrate_pct,Winrate:,(wins/total)*100,percent,float,10s,Percentage,>55%,45-55%,<45%,Procento vítězných obchodů. >55% = dobrý. <45% = problém.,Neměří velikost zisku
NET_PNL_PCT,Trading,Čistý zisk (%),Celkový zisk jako % od počátečního kapitálu,P0,DERIVED,firebase,trading_summary/net_pnl_pct,Net PnL:,sum(pnl)/initial_capital*100,percent,float,10s,Text,>0%,-5%:0%,<-5%,Čistý zisk v procentech. Negativní = ztráty!,Nepočítá inflaci/daně
OPEN_POSITIONS_COUNT,Positions,Otevřených pozic,Počet aktuálně otevřených live obchodů,P0,RAW,firebase,trading_state/open_count,[POSITION_OPEN],count(positions WHERE open),count,integer,5s,Badge,1-5,0 or >5,N/A,Kolik obchodů aktuálně běží. 0 = bez akcí >5 = riziko.,Paper obchody zvlášť
LAST_TRADE_TS,Trading,Poslední obchod (čas),Timestamp posledního uzavřeného obchodu,P1,RAW,firebase,trading_summary/last_trade_ts,[TRADE_CLOSED],max(exit_ts),unix_timestamp,number,30s,RelativeTime,<60min,60-360min,>360min,Čas posledního obchodu. Dlouhá absence = idle?,Nepočítá hanged trades
LM_TOTAL_TRADES,Learning,LM: Trades count,Kanonické počet obchodů v LearningMonitoru,P1,RAW,lm,learning_state/lm_total_trades,[LM_STATE_AFTER_UPDATE],sum(lm_count.values()),count,integer,10s,Text,>100,10-100,<10,Počet trades v LM. <10 = bot se ještě učí!,Liší se od TOTAL_TRADES
LEARNING_HEALTH,Learning,Zdraví učení (%),Composited health score LM,P1,DERIVED,lm,learning_state/health_pct,[LM_HEALTH],lm_health() score,percent,float,60s,ProgressBar,>70%,40-70%,<40%,Jak zdravé je učení. <40% = málo dat.,Komplexní formula
PAPER_TRAIN_ENTRY_COUNT,Training,Paper obchody (vstupy),Počet pokusů o otevření paper training,P2,LOG_ONLY,logs,N/A,[PAPER_TRAIN_ENTRY],count(PAPER_TRAIN_ENTRY logs),count,integer,realtime,Text,>20,5-20,0,Kolik pokusů paper training. 0 = vypnutý?,Počítá pokusy ne úspěchy
PAPER_TRAIN_ECON_ATTRIB,Training,Atribuce papíru,Rozpad proč papír ztrácí,P1,LOG_ONLY,logs,N/A,[PAPER_TRAIN_ECON_ATTRIB],Parse attrib categories,dict,dict,2min,PieChart,fee<30%,fee 30-50%,fee>50%,Proč papír ztrácí. Vysoké fee = TP blízko.,Malý vzorek = šumné
RAW_SIGNALS_COUNT,Signals,Surové signály (počet),Počet všech signálů z signal_generator,P2,LOG_ONLY,logs,N/A,[SIGNAL_RAW],count(SIGNAL_RAW logs),count,integer,realtime,Counter,>100,10-100,0-10,Počet generovaných signálů. 0 = bez dat?,Bez ohledu na kvalitu
REJECT_RATE,Signals,Míra zamítnutí (%),Procento signálů zamítnutých RDE,P2,DERIVED,logs,N/A,REJECT_,count(REJECT)/(count(REJECT)+count(TAKE))*100,percent,float,realtime,Percentage,80-99%,60-80%,<60%,Procento zamítnutých. Vysoké = konzervativní.,Vysoké % není vždy dobré
RISK_BUDGET,Risk,Rozpočet rizika (USD),Zbývající daily risk budget,P1,DERIVED,risk,risk_metrics/budget_usd,[RISK_BUDGET],max_risk - used_risk,USD,float,10s,ProgressBar,>50%,20-50%,<20%,Zbývající maximální riziko. <20% = halt!,Odhad max loss
SPREAD_PCT,Execution,Spred (%),Průměrný bid-ask spred jako % ceny,P2,RAW,market,execution_quality/spread_pct_avg,Spread:,(ask-bid)/mid*100,percent,float,10s,Text,<0.05%,0.05-0.2%,>0.2%,Bid-ask spred. Vyšší = dražší obchodování.,Liší se per-symbol
LAST_AUDIT_WINDOW,Diagnostics,Poslední audit (čas),Čas poslední spuštění kvality auditu,P2,RAW,system,diagnostics/last_audit_ts,[AUDIT_START],File mtime,unix_timestamp,number,60min,RelativeTime,<60min,60-120min,>120min,Čas poslední diagnostiky. >2h = stálá data.,Audit sám spotřebovává čtení
